,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
1,27,1,9,1,33.0,1975.0,1,0,0,18.0,6.0,2.7,160,1,125757.0
4,27,4,7,1,25.9,2009.0,1,0,2,20.0,5.0,3.5,671,0,115830.0
9,27,6,9,2,42.7,1980.0,1,2,2,29.7,5.6,2.7,831,0,93442.0
10,27,1,5,2,42.8,1990.0,1,1,2,24.9,6.0,2.5,711,0,70070.0
13,27,1,3,1,25.3,2015.0,1,2,0,14.1,6.2,2.8,599,0,98814.0
17,27,2,4,1,41.4,1975.0,1,1,2,20.0,7.0,2.82,1418,0,67632.0
18,27,2,2,1,31.3,1970.0,1,0,2,26.3,5.0,2.82,563,0,86261.0
19,27,5,5,1,31.0,1984.0,1,1,2,15.0,7.3,2.82,124,0,99677.0
23,27,6,6,1,38.9,2010.0,1,2,0,16.0,10.0,2.8,432,0,71979.0
26,27,8,10,3,64.0,1992.0,1,2,2,55.0,9.0,2.8,899,0,116406.0
27,27,8,9,3,60.0,1975.0,1,2,0,40.0,9.0,2.6,160,0,110000.0
28,27,3,10,3,62.1,1992.0,1,1,0,45.0,9.0,2.8,899,0,117552.0
30,27,7,24,3,77.6,2011.0,1,1,0,72.6,5.0,2.82,819,0,163659.0
31,27,6,9,3,62.0,1986.0,1,2,0,44.0,8.0,2.65,531,0,118548.0
32,27,5,10,3,63.0,1994.0,1,2,0,55.0,8.0,2.82,1023,0,120634.0
37,27,1,5,3,67.0,1973.0,1,2,2,41.0,9.0,2.5,326,0,123880.0
39,27,4,5,2,45.5,1971.0,1,1,2,32.5,6.0,2.6,1137,0,118241.0
41,27,7,9,2,42.9,1971.0,1,1,2,27.4,5.7,2.5,210,0,104895.0
42,27,2,14,2,38.4,2013.0,1,6,2,17.0,11.0,2.82,160,0,174479.0
43,27,1,9,2,48.0,1981.0,1,0,0,37.0,11.0,2.82,1344,0,87500.0
45,27,2,5,2,47.0,1972.0,1,2,0,33.0,7.5,2.7,160,0,106382.0
48,27,2,5,2,47.0,1971.0,1,1,0,34.0,6.5,2.6,1075,0,86170.0
49,27,6,6,2,56.8,2004.0,1,0,2,30.0,10.0,3.0,295,0,87147.0
54,27,5,5,2,53.5,1973.0,1,2,0,28.9,9.0,2.82,708,0,93457.0
56,27,2,10,1,59.0,2011.0,1,2,2,18.1,20.0,3.0,1137,0,191525.0
57,27,2,9,1,38.4,1984.0,1,2,2,15.0,9.0,2.82,929,0,119791.0
58,27,4,6,1,38.9,2009.0,1,0,2,13.0,11.2,2.8,671,0,102827.0
59,27,3,5,1,30.3,1972.0,1,1,2,18.0,6.0,2.6,896,0,115511.0
62,9,8,10,1,34.0,1970.0,1,2,2,18.2,7.8,2.6,619,0,176470.0
63,9,5,9,1,50.0,2019.0,1,1,2,25.0,10.0,2.7,524,0,191000.0
68,9,4,9,1,32.2,1978.0,1,0,0,15.0,6.0,2.6,709,0,161801.0
71,9,1,9,1,20.3,1977.0,1,0,2,11.4,4.0,2.4,1206,0,157635.0
74,9,6,6,1,31.6,2003.0,1,0,2,18.0,6.5,2.5,1067,0,183544.0
82,9,18,18,2,70.3,2007.0,1,6,1,58.3,12.0,2.7,514,0,234708.0
83,9,2,14,2,50.7,1973.0,1,2,2,32.0,8.0,2.7,132,0,138067.0
86,9,9,9,2,54.3,1995.0,1,2,2,30.0,8.1,2.7,514,0,151012.0
88,9,1,9,2,57.4,1976.0,1,2,2,30.0,9.0,2.5,709,0,135888.0
93,9,1,2,3,92.6,2009.0,1,0,2,56.5,10.6,2.82,665,0,203023.0
94,9,2,5,3,64.4,2004.0,1,2,2,50.0,8.5,2.82,1366,0,197204.0
96,9,13,14,3,75.3,1982.0,1,2,2,48.8,9.1,2.82,514,0,175298.0
108,19,11,20,3,87.02,2024.0,0,0,0,39.1,34.3,2.85,1418,1,378200.0
109,19,4,20,3,103.7,2024.0,0,0,0,35.2,25.5,3.2,794,1,388543.0
119,19,11,12,1,33.5,1972.0,1,1,2,17.0,7.0,2.5,753,1,238805.0
122,19,10,10,1,38.5,1994.0,1,2,0,20.7,8.4,2.82,890,1,292987.0
123,19,5,21,1,65.9,2023.0,0,0,0,18.8,24.9,3.0,327,1,1246927.0
124,19,3,20,1,59.0,2023.0,0,0,4,39.0,15.0,3.0,327,1,1047457.0
125,19,9,14,1,38.5,1993.0,1,1,2,18.0,8.0,2.64,901,1,181818.0
126,19,3,15,1,54.0,2016.0,1,2,4,30.0,12.0,2.8,630,1,268518.0
128,19,3,9,1,33.0,1978.0,1,0,0,18.0,6.0,2.7,553,1,275757.0
130,19,22,22,1,14.3,1980.0,1,0,2,6.3,3.0,2.65,963,1,579020.0
134,19,7,40,1,43.4,2023.0,1,0,0,15.2,19.4,2.82,1264,1,479262.0
146,19,14,24,3,88.0,2004.0,1,6,2,77.0,11.0,2.82,1196,1,346590.0
152,19,22,23,3,152.0,2004.0,1,0,3,112.0,25.0,3.0,905,1,539473.0
153,19,15,30,3,105.9,2023.0,1,0,4,51.2,28.4,3.3,496,1,357790.0
162,19,15,26,3,54.2,2023.0,1,0,0,37.1,4.1,2.87,1010,1,448339.0
165,19,28,32,3,110.0,2006.0,1,0,4,54.1,10.0,2.95,1208,1,563545.0
166,19,17,34,3,86.7,2024.0,1,0,4,53.0,10.0,2.9,1077,1,999999.0
172,19,6,9,3,63.1,2024.0,0,3,0,24.3,19.2,2.99,1418,1,212680.0
179,19,12,17,2,71.0,2022.0,1,0,1,40.0,17.0,3.0,455,1,252112.0
182,19,13,22,2,60.6,2010.0,1,1,0,50.2,10.4,2.82,1196,1,353135.0
183,19,7,15,2,46.5,2017.0,1,0,4,30.0,10.0,3.0,1208,1,513978.0
195,19,5,17,2,49.0,2024.0,0,0,4,31.4,3.8,2.82,963,1,751020.0
198,19,11,16,2,68.0,1995.0,1,0,2,38.0,12.0,2.8,985,1,291176.0
199,19,3,9,2,58.1,2017.0,1,0,0,46.900000000000006,11.2,2.75,73,1,266781.0
203,19,6,17,2,61.0,2008.0,1,6,0,33.0,13.0,2.82,598,1,227049.0
204,19,3,23,2,49.5,2021.0,1,0,4,26.0,12.0,3.2,743,1,319191.0
205,19,7,25,2,73.0,2021.0,1,0,2,29.0,25.0,2.8,78,1,250547.0
206,19,22,24,2,45.0,2020.0,1,2,4,28.0,15.0,2.8,769,1,466666.0
207,19,13,14,2,68.0,2023.0,0,0,0,27.0,29.2,2.8,1032,1,310250.0
209,19,15,38,2,81.0,2024.0,0,0,4,52.9,23.0,3.1,1229,1,356790.0
215,19,5,9,2,59.3,2024.0,0,2,4,31.7,10.2,2.82,383,1,138279.0
223,19,30,33,1,40.0,2024.0,0,0,4,13.0,15.0,3.0,882,1,547500.0
226,19,2,12,1,51.2,2022.0,1,0,4,33.0,5.0,3.1,161,1,611328.0
227,19,3,17,1,38.0,2006.0,1,2,2,19.0,7.3,2.65,827,1,365789.0
235,19,10,34,1,64.4,2023.0,1,0,0,41.7,10.0,3.2,1077,1,791925.0
236,19,3,12,1,39.0,1971.0,1,1,3,24.0,6.5,2.51,750,1,256384.0
237,19,14,19,1,39.6,2024.0,0,0,0,21.7,12.9,3.3,555,1,599999.0
239,19,7,9,1,33.0,2021.0,1,2,2,23.0,10.0,2.7,254,1,284242.0
240,19,3,13,1,37.3,2023.0,0,0,4,12.3,11.5,3.1,1,1,302361.0
241,19,18,22,1,43.2,2022.0,1,0,0,8.6,21.7,3.0,814,1,444444.0
242,19,22,22,1,16.0,1980.0,1,0,2,8.0,3.0,2.65,963,1,555000.0
243,19,7,17,1,37.9,1991.0,1,1,2,18.9,8.4,2.7,976,1,308707.0
245,19,4,20,1,76.13,2024.0,0,3,4,27.7,21.3,2.85,769,1,422500.0
246,19,5,7,1,34.6,1978.0,1,1,0,18.0,8.0,2.82,741,1,260115.0
247,19,5,9,1,34.1,1970.0,1,0,2,17.1,8.1,2.65,1218,1,322287.0
250,19,5,17,1,50.2,2024.0,1,0,4,16.1,16.8,2.82,963,1,695219.0
251,19,15,27,1,38.2,2024.0,0,0,4,14.0,10.2,3.0,1418,1,445841.0
264,19,16,16,1,38.2,2024.0,0,0,3,10.4,11.3,2.72,1418,1,216096.0
265,19,2,16,1,38.6,2024.0,0,0,3,10.5,11.3,2.72,1418,1,214381.0
275,19,8,9,1,56.0,2018.0,1,1,2,20.1,23.0,2.8,581,1,164285.0
277,19,8,27,1,33.0,2012.0,1,0,0,16.0,10.0,2.8,1418,1,287878.0
279,19,9,10,1,38.3,2007.0,1,2,2,17.9,8.7,2.8,1056,1,253263.0
280,19,14,20,1,30.6,2024.0,0,0,2,9.5,21.1,2.7,1418,1,315759.0
282,19,5,5,1,35.83,2024.0,0,0,3,10.8,9.8,3.0,1418,1,276301.0
284,19,2,5,1,43.9,2024.0,0,0,3,14.4,18.5,3.0,1418,1,231009.0
295,19,12,17,1,38.8,1987.0,1,2,2,20.0,8.5,2.64,860,1,286082.0
298,37,4,5,1,48.0,2006.0,1,1,2,41.0,7.0,2.6,1065,0,131250.0
299,37,3,9,1,51.9,2013.0,1,2,0,17.0,19.0,2.8,129,0,90558.0
303,37,2,5,1,33.6,2006.0,1,0,2,18.7,8.6,2.6,1065,0,157738.0
304,37,4,5,1,34.2,2018.0,1,2,2,16.0,10.0,2.8,1418,0,116081.0
305,37,5,5,1,28.4,1978.0,1,1,0,15.1,6.7,2.82,811,0,112676.0
306,37,9,9,1,40.0,1988.0,1,1,2,34.0,6.0,2.82,1418,0,95000.0
307,37,5,5,1,31.5,1974.0,1,1,2,16.5,6.1,2.5,129,0,133333.0
308,37,5,5,1,28.9,1978.0,1,1,2,17.0,6.0,2.6,811,0,131487.0
309,37,3,9,1,39.6,2013.0,1,0,0,17.5,10.0,2.8,319,0,101010.0
324,37,3,9,1,51.2,2013.0,1,1,2,24.0,15.0,2.65,129,0,87890.0
327,37,8,10,1,39.9,2013.0,1,2,2,17.6,9.5,2.7,319,0,124060.0
328,37,4,5,1,28.6,1978.0,1,1,2,16.6,7.0,2.6,361,0,145104.0
329,37,2,9,1,41.0,2013.0,1,2,2,20.0,12.0,2.8,319,0,134146.0
330,37,8,9,1,38.1,2013.0,1,2,2,29.900000000000002,8.2,2.8,319,0,138451.0
331,37,2,6,1,40.2,2019.0,1,2,2,19.0,9.1,2.8,129,0,124129.0
332,37,4,5,1,28.6,1972.0,1,1,0,15.0,6.3,2.82,361,0,145104.0
334,37,21,38,1,41.5,2023.0,1,0,2,14.6,10.0,2.6,1119,1,487951.0
336,37,6,14,1,40.0,1972.0,1,2,3,19.0,9.0,2.7,754,1,524750.0
339,37,15,20,1,50.0,2024.0,0,0,0,30.0,8.0,3.2,918,1,520000.0
341,37,12,41,1,36.52,2024.0,0,0,0,31.5,5.020000000000003,3.2,732,1,723999.0
343,37,5,41,1,59.59,2024.0,0,0,0,54.6,4.990000000000002,3.2,732,1,663499.0
352,37,7,7,1,35.88,2023.0,0,0,0,17.8,9.1,2.82,395,0,67999.0
355,37,2,5,1,31.1,1979.0,1,0,0,18.0,6.0,2.82,1091,0,86816.0
373,37,4,5,2,44.3,1978.0,1,1,2,27.9,7.0,2.82,811,0,115124.0
374,37,1,9,2,64.0,2013.0,1,0,2,39.0,18.0,2.65,129,0,96093.0
376,37,3,6,2,48.9,2018.0,1,2,2,30.0,10.0,2.8,129,0,117995.0
377,37,4,9,2,66.0,2013.0,1,1,2,45.0,14.0,2.8,129,0,106060.0
378,37,5,5,2,37.0,1978.0,1,2,2,21.0,5.6,2.82,811,0,94594.0
379,37,4,5,2,43.4,1980.0,1,1,2,28.9,6.3,2.82,811,0,82488.0
380,37,5,5,2,36.2,1973.0,1,1,2,21.7,7.5,2.6,361,0,116022.0
381,37,5,5,2,43.7,1977.0,1,1,2,30.0,7.0,2.7,811,0,91510.0
382,37,1,5,2,43.7,1974.0,1,0,0,24.0,6.0,2.82,361,0,114416.0
383,37,5,5,2,43.0,1977.0,1,1,2,28.0,6.0,2.82,811,0,95348.0
384,37,3,9,2,53.0,2013.0,1,1,2,22.0,20.0,3.0,129,0,115094.0
387,37,2,5,2,54.8,2022.0,1,2,2,32.5,9.0,2.5,1418,0,80291.0
393,37,8,9,2,45.0,1977.0,1,1,2,34.0,6.5,2.65,326,0,97777.0
395,37,9,9,2,44.0,1978.0,1,2,0,38.0,6.0,2.82,908,0,100000.0
402,4,1,5,1,30.4,1972.0,1,0,2,18.0,6.0,2.82,607,0,75657.0
414,28,2,3,1,34.0,2017.0,1,1,0,11.0,10.5,2.8,459,0,101470.0
415,28,4,5,1,39.0,1988.0,1,1,0,17.0,7.0,2.7,431,0,94102.0
417,28,2,5,1,38.5,1989.0,1,1,2,18.0,7.5,2.82,1418,0,90909.0
418,28,5,5,1,39.4,1985.0,1,1,2,18.7,7.5,2.82,1418,0,83756.0
419,28,1,5,1,29.2,1981.0,1,0,2,15.2,6.7,2.7,1418,0,97602.0
422,28,4,5,1,30.0,1973.0,1,1,0,16.4,7.5,2.8,1418,0,116666.0
426,28,3,3,2,66.8,2015.0,1,0,2,21.2,25.6,2.82,702,0,67365.0
429,28,11,13,1,28.2,2023.0,1,1,4,16.0,5.0,2.8,534,0,95744.0
432,28,1,4,1,33.6,1975.0,1,1,2,18.0,6.0,2.82,1418,0,62499.0
436,26,5,9,1,32.7,1985.0,1,2,2,16.0,7.0,2.82,1191,0,125382.0
437,26,5,7,1,50.4,2023.0,1,2,2,20.9,29.5,2.55,150,0,103174.0
438,26,4,5,1,31.0,1981.0,1,1,2,17.1,6.1,2.55,1144,0,120967.0
439,26,9,9,1,32.1,1989.0,1,1,0,15.9,7.2,2.82,600,0,118380.0
440,26,8,10,1,50.8,2020.0,1,5,2,21.0,15.0,2.82,150,0,84645.0
441,26,1,5,1,35.4,1993.0,1,2,2,17.5,7.5,2.5,1191,0,124293.0
442,26,3,3,1,34.5,2016.0,1,0,2,19.3,10.2,2.82,1088,0,139130.0
445,26,3,9,1,33.5,1987.0,1,1,4,17.7,6.4,2.82,1191,0,145373.0
448,26,3,5,1,31.0,1975.0,1,1,0,16.5,6.0,2.5,1418,0,125806.0
449,26,2,5,1,37.3,1989.0,1,1,2,19.0,9.7,2.6,185,0,117962.0
451,26,2,5,1,33.3,1984.0,1,1,2,27.299999999999997,6.0,2.5,1102,0,153153.0
452,26,2,11,1,46.0,2015.0,1,2,2,15.5,15.2,2.7,1191,0,154347.0
453,26,8,9,1,41.3,2015.0,1,1,2,26.299999999999997,15.0,4.0,1191,0,174334.0
455,26,4,9,2,50.8,2023.0,1,2,2,25.0,7.0,2.85,437,0,108267.0
458,26,4,7,1,37.2,2023.0,1,2,2,25.3,7.6,2.82,437,0,95430.0
459,25,15,25,1,27.0,2013.0,1,2,2,16.0,6.0,2.8,1240,1,266666.0
460,25,16,17,1,39.4,2012.0,1,2,2,18.9,9.8,2.67,268,1,291878.0
461,25,5,9,1,34.0,1970.0,1,1,0,20.0,6.5,2.6,289,1,223529.0
464,25,20,25,1,55.7,2016.0,1,2,4,12.0,21.0,3.2,546,1,228007.0
465,25,17,25,1,44.0,2015.0,1,2,2,20.0,11.0,2.82,1240,1,271590.0
466,25,22,25,1,43.0,2018.0,1,1,2,20.0,10.0,2.75,473,1,251162.0
468,25,9,17,1,42.4,2005.0,1,2,2,29.1,10.8,2.5,165,1,294811.0
470,25,16,25,1,40.0,2012.0,1,2,2,18.0,9.0,2.7,1037,1,262500.0
473,25,6,9,1,21.1,1975.0,1,0,2,13.0,3.2,2.64,504,1,260663.0
475,16,3,5,1,30.6,1976.0,1,1,2,16.7,6.2,2.82,1023,0,91503.0
476,16,3,5,1,29.4,1971.0,1,1,0,16.2,6.3,2.82,1170,0,107142.0
477,16,2,5,1,33.2,1980.0,1,2,2,17.8,7.4,2.6,728,0,106927.0
479,16,1,5,1,53.3,1975.0,1,0,2,25.0,9.5,2.6,1170,0,63789.0
482,16,3,3,1,33.4,2018.0,1,3,2,21.4,12.0,2.8,1170,0,115269.0
484,16,4,5,2,43.4,1976.0,1,1,2,27.9,5.7,2.5,491,0,63364.0
485,16,3,5,1,29.5,1975.0,1,1,0,17.6,6.0,2.82,1211,0,118644.0
486,16,1,3,2,52.3,2014.0,1,0,0,44.3,8.0,3.0,1196,0,55025.0
487,16,3,5,1,39.0,1987.0,1,2,2,18.0,7.3,2.82,1418,0,57692.0
488,16,1,1,3,54.1,1972.0,1,0,0,26.7,27.400000000000002,2.82,675,0,36968.0
490,16,3,3,2,36.0,1977.0,1,1,0,29.9,6.1,2.82,1418,0,72222.0
493,16,10,17,1,28.0,2023.0,1,2,2,18.0,7.0,2.8,460,0,107142.0
494,16,4,5,1,36.0,1972.0,1,0,2,25.0,3.0,2.5,365,0,83055.0
496,16,4,5,1,44.2,1988.0,1,0,0,29.0,8.0,2.82,1044,0,70135.0
500,18,4,24,1,24.5,2023.0,0,1,4,9.6,14.9,2.7,550,1,350338.0
502,18,2,9,1,25.2,2018.0,1,0,0,14.2,6.0,2.7,716,1,196428.0
504,18,3,26,1,25.7,2023.0,1,0,4,12.9,3.6,2.82,598,1,198443.0
505,18,7,25,1,24.5,2018.0,1,1,0,21.6,2.8999999999999986,2.7,716,1,222448.0
507,18,5,9,1,26.8,2018.0,1,2,2,14.2,6.0,2.7,716,1,242537.0
511,18,6,17,1,29.0,2015.0,1,2,0,18.0,5.0,2.8,92,1,193103.0
512,18,12,25,1,20.0,2023.0,1,0,0,9.1,3.3,2.82,598,1,224999.0
514,11,2,5,1,65.7,2015.0,0,0,0,46.9,18.800000000000004,2.82,1418,0,378399.0
525,11,6,11,1,35.0,1984.0,1,1,3,16.8,7.5,2.82,997,1,199714.0
526,11,5,10,1,37.0,2021.0,1,1,0,29.0,8.0,2.8,54,0,200000.0
527,11,3,3,1,47.7,2020.0,0,0,0,37.7,10.0,2.8,270,0,101499.0
528,11,22,22,1,20.0,1980.0,1,0,2,16.0,3.0,2.65,963,1,488500.0
529,11,4,4,1,42.1,2022.0,1,0,4,15.2,10.0,2.82,287,1,451306.0
531,11,4,8,1,57.0,2023.0,1,0,4,18.0,24.0,2.82,1173,1,1208771.0
533,11,4,12,1,33.7,2024.0,0,1,0,23.900000000000002,9.8,2.72,267,0,164999.0
536,11,16,16,1,40.0,1982.0,1,1,0,19.0,8.0,2.82,408,1,307500.0
543,11,2,16,1,38.0,2015.0,1,1,0,18.4,9.6,2.82,133,0,105263.0
547,11,25,25,1,45.9,2023.0,0,0,0,15.2,15.6,2.7,487,0,214982.0
549,11,3,5,1,33.5,1996.0,1,2,0,17.2,8.0,2.5,472,0,125373.0
550,11,13,16,1,32.4,2021.0,1,1,2,24.0,8.4,2.82,1091,0,131172.0
556,11,2,8,2,66.0,2015.0,0,0,0,50.0,16.0,2.82,1418,0,342760.0
561,11,5,17,2,60.0,1990.0,1,1,2,50.0,10.0,2.8,1031,1,309166.0
563,11,4,20,2,64.29,2024.0,0,0,0,22.2,19.9,2.85,769,1,375899.0
573,11,4,16,2,37.0,1977.0,1,2,0,20.0,10.0,2.7,941,1,513513.0
581,11,6,9,2,66.0,2022.0,1,0,0,27.2,20.7,3.0,1383,1,642424.0
582,11,14,28,2,67.0,2021.0,1,2,4,29.0,19.0,3.0,1312,1,447761.0
583,11,3,3,2,39.5,1971.0,1,1,0,28.0,6.0,2.7,1418,0,111392.0
584,11,14,16,2,41.0,2023.0,1,1,2,10.0,20.0,2.7,843,1,119512.0
586,11,5,5,2,48.3,1985.0,1,1,2,32.7,6.1,2.56,1190,0,70393.0
587,11,5,14,2,67.2,2008.0,1,2,0,25.0,22.0,2.7,799,1,220238.0
595,11,3,11,3,110.4,2012.0,1,0,4,90.4,20.0,3.3,659,1,896739.0
596,11,6,13,3,75.37,2024.0,0,0,4,63.470000000000006,11.9,3.05,1418,1,551292.0
597,11,4,8,3,74.96,2024.0,0,5,0,59.959999999999994,15.0,2.82,157,0,490000.0
599,11,5,9,3,117.0,2013.0,1,0,0,92.0,25.0,3.0,815,1,559829.0
601,11,14,22,3,112.0,2017.0,1,6,4,55.0,12.4,3.1,886,1,607142.0
603,11,3,40,3,70.8,2023.0,1,0,0,32.6,23.9,2.82,1264,1,422316.0
605,14,5,24,1,39.1,2005.0,1,0,0,27.1,12.0,2.82,176,1,506393.0
606,14,17,25,1,41.9,2013.0,1,2,2,30.4,11.5,2.8,1418,1,150357.0
618,14,10,22,1,38.2,2005.0,1,1,2,19.0,10.0,2.66,1090,1,329842.0
619,14,9,9,1,34.4,1978.0,1,2,0,28.7,5.7,2.82,548,1,136627.0
620,14,25,25,1,37.2,2023.0,0,0,0,13.1,14.3,2.7,38,1,215782.0
621,14,3,3,1,40.9,2024.0,0,0,0,12.5,18.5,2.7,242,0,180000.0
622,14,13,14,1,39.0,2011.0,1,2,2,20.0,8.0,2.75,1315,1,451282.0
623,14,5,5,1,35.7,1976.0,1,1,2,18.5,7.2,2.6,1045,1,161064.0
625,14,21,22,1,39.0,1985.0,1,0,0,19.1,10.0,2.82,773,1,289743.0
631,36,6,12,2,67.0,2016.0,1,2,0,35.0,14.0,2.7,965,0,141044.0
632,36,6,9,1,33.3,1971.0,1,2,2,18.0,6.3,2.6,504,0,148648.0
633,36,5,5,1,33.0,1977.0,1,1,2,18.0,7.0,2.82,896,0,134848.0
640,36,14,17,1,36.0,2014.0,1,2,2,17.0,8.0,2.8,1146,0,134722.0
642,36,1,9,1,33.1,1985.0,1,2,0,16.0,7.0,2.6,239,0,140483.0
645,36,9,9,1,34.0,1971.0,1,2,2,18.0,7.0,2.8,1250,0,125000.0
646,36,7,17,1,38.4,1991.0,1,2,2,19.1,6.4,2.82,1036,0,118489.0
653,36,1,9,1,36.7,1987.0,1,2,2,18.0,8.0,2.6,239,0,117166.0
655,36,5,14,1,37.0,1979.0,1,1,0,28.0,9.0,2.82,1146,0,135135.0
657,36,1,17,1,48.0,2009.0,1,2,2,18.0,12.0,2.9,722,0,140625.0
664,36,9,17,2,59.0,2011.0,1,2,2,32.0,12.0,2.8,722,0,135593.0
665,36,4,10,2,65.0,2006.0,1,2,2,51.5,13.5,2.5,1261,0,123076.0
670,36,8,16,2,63.0,2004.0,1,3,2,33.0,11.0,2.7,1036,0,166666.0
673,36,3,9,1,28.1,1984.0,1,2,2,15.0,7.0,2.82,632,0,138754.0
674,36,11,12,1,37.0,2015.0,1,2,2,14.0,10.0,2.82,1146,0,139189.0
678,36,10,17,2,39.8,2020.0,1,2,1,21.0,10.0,2.82,1036,0,170854.0
685,36,2,9,2,49.0,1987.0,1,2,0,29.0,8.0,2.6,537,1,120408.0
686,36,9,10,2,49.8,1996.0,1,2,0,30.0,8.0,2.82,1036,0,139558.0
688,36,4,5,2,43.2,1971.0,1,1,2,30.0,6.0,2.7,1250,0,99537.0
690,36,6,13,2,46.5,2019.0,1,1,2,25.0,9.0,2.8,1261,0,176344.0
693,11,11,12,3,63.8,1971.0,1,5,2,42.9,9.5,2.64,719,1,305485.0
696,11,5,6,3,86.8,2017.0,1,0,4,41.0,15.0,3.0,1146,1,973502.0
699,7,3,16,1,35.0,1992.0,1,2,2,19.0,10.0,2.82,1391,1,208571.0
701,7,11,18,1,43.6,2016.0,1,2,2,13.5,12.7,2.7,1156,1,211009.0
702,7,2,25,1,35.0,2019.0,1,1,0,15.2,10.0,2.7,1034,1,271428.0
704,7,24,26,1,49.0,2007.0,1,2,2,21.8,14.0,2.8,970,1,240816.0
705,7,5,5,1,28.9,1971.0,1,0,0,17.9,6.0,2.82,1004,1,223183.0
710,7,3,10,1,42.2,2004.0,1,0,0,19.5,9.3,2.82,877,1,196682.0
713,7,1,17,1,40.5,2004.0,1,0,0,22.9,11.0,2.82,1034,1,192592.0
717,7,2,9,1,35.8,1994.0,1,2,2,18.1,7.5,2.64,971,1,243016.0
718,7,1,9,1,32.1,1974.0,1,0,0,18.2,6.7,2.5,1004,1,224299.0
720,7,6,23,1,34.0,2021.0,1,2,4,18.0,11.0,2.8,1065,1,214705.0
721,7,14,25,1,45.7,2018.0,1,0,2,22.0,11.0,2.82,1034,1,200218.0
722,7,1,9,1,33.0,1984.0,1,0,2,17.5,6.0,2.7,64,1,196969.0
723,7,19,25,1,36.3,2020.0,1,2,2,14.4,8.9,2.8,1276,1,267190.0
724,7,11,17,1,46.1,2015.0,1,2,0,19.6,12.4,2.82,1009,1,225596.0
725,7,4,20,1,41.0,2007.0,1,2,2,20.0,10.0,2.64,864,1,226829.0
726,7,3,23,1,35.0,2021.0,1,2,2,15.0,8.0,2.82,1065,1,228571.0
727,7,5,17,1,42.4,2006.0,1,2,2,22.9,12.0,2.64,1034,1,232311.0
732,19,4,22,2,67.1,2024.0,0,0,0,21.5,22.3,3.2,794,1,427530.0
740,19,7,12,2,55.0,1974.0,1,2,2,31.0,9.0,2.82,959,0,243636.0
746,19,2,11,2,42.4,2019.0,1,0,1,16.7,15.7,2.8,1265,1,304221.0
749,19,10,14,2,56.7,2024.0,1,2,0,32.5,10.4,2.7,474,1,392104.0
751,19,2,21,2,57.23,2023.0,1,0,0,50.23,7.0,3.0,749,1,1030927.0
755,19,5,24,2,49.1,2020.0,1,0,0,16.5,21.5,2.7,96,1,287169.0
758,19,11,13,2,81.9,2022.0,1,0,4,36.6,25.6,3.1,833,1,531135.0
766,19,30,41,2,57.0,2024.0,1,0,4,30.0,12.0,2.82,732,1,605263.0
771,19,8,15,2,55.3,2023.0,1,1,4,31.6,11.9,2.64,196,1,207956.0
773,19,19,20,2,60.4,2021.0,1,2,3,28.3,12.5,3.1,1107,1,301324.0
775,19,22,37,2,46.4,2019.0,1,0,4,30.5,5.0,3.0,856,1,517219.0
777,19,15,23,2,100.8,2006.0,1,1,0,51.7,16.9,2.82,533,1,416666.0
778,19,9,22,2,101.0,2005.0,1,4,0,40.0,22.0,3.0,990,1,425742.0
779,19,4,21,2,57.5,2023.0,1,1,4,35.0,10.0,3.0,749,1,956521.0
782,17,17,17,1,24.6,2023.0,1,1,0,12.0,12.600000000000001,2.82,311,1,162601.0
785,17,12,17,1,27.0,2021.0,1,2,0,17.0,5.0,2.82,311,1,229629.0
786,17,3,18,1,28.0,2018.0,1,1,2,18.7,2.5,2.5,311,1,189285.0
787,17,15,17,1,27.1,2019.0,1,2,3,15.0,4.0,2.7,311,1,191881.0
789,17,12,17,1,29.0,2018.0,1,1,2,26.0,3.0,2.5,311,1,213793.0
794,17,6,17,1,26.2,2018.0,1,2,2,10.0,6.0,2.82,311,1,179389.0
798,17,2,5,1,30.0,1971.0,1,1,2,18.0,5.0,2.8,690,1,143333.0
800,17,2,16,1,36.9,2011.0,1,1,0,27.599999999999998,9.3,2.7,1279,1,178861.0
802,17,1,9,3,68.8,1988.0,1,3,2,40.1,9.5,2.6,1172,1,116279.0
803,17,3,5,3,58.7,1970.0,1,0,0,48.7,10.0,2.82,41,1,127768.0
804,17,5,14,3,96.2,2006.0,1,2,2,69.0,16.0,2.7,531,1,121621.0
805,17,3,17,3,76.4,2016.0,1,1,0,63.10000000000001,13.3,2.8,716,1,154450.0
806,17,9,10,3,107.2,2005.0,1,6,0,91.2,16.0,2.8,767,1,166044.0
808,17,8,18,3,66.4,2018.0,1,1,2,36.9,13.5,2.7,311,1,158132.0
811,17,5,5,3,69.0,1987.0,1,2,0,44.0,10.0,2.82,678,1,118840.0
812,17,7,17,2,61.1,2012.0,1,2,2,31.0,10.0,2.82,297,1,154664.0
813,17,4,9,2,51.8,1992.0,1,2,2,27.0,7.2,2.6,678,1,136100.0
814,17,8,18,2,66.4,2017.0,1,1,2,17.8,32.8,2.7,1042,1,168674.0
816,17,8,17,2,60.2,2013.0,1,3,2,33.6,12.9,2.7,1279,1,181063.0
