,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
5557,0,2,9,1,38.6,2014.0,1,0,4,38.6,0.0,2.7,1381,1,189119.0
5559,0,5,21,1,25.3,2022.0,1,1,2,15.0,5.0,2.8,1371,1,249011.0
5560,0,12,25,1,24.0,2021.0,1,0,3,15.0,4.0,2.7,721,1,222916.0
5562,0,16,25,1,42.9,2012.0,1,1,2,28.0,5.0,2.7,898,1,175990.0
5563,0,12,24,1,19.5,2020.0,1,0,0,19.5,0.0,2.7,545,1,333333.0
5567,0,11,26,1,22.8,2019.0,1,0,0,12.0,4.0,2.66,545,1,285087.0
5568,0,10,26,1,23.46,2023.0,1,0,0,14.5,1.9,2.82,721,1,170502.0
5569,0,10,15,1,24.0,2023.0,1,0,2,8.0,8.0,2.7,721,1,200000.0
5574,0,7,20,1,25.5,2018.0,1,1,2,11.3,14.2,2.8,1407,1,196078.0
5575,0,11,26,1,26.4,2024.0,1,0,2,19.5,6.899999999999999,2.82,721,1,170454.0
5576,0,7,25,1,24.0,2024.0,1,0,2,18.0,6.0,2.82,721,1,212500.0
5577,0,6,25,1,21.0,2023.0,1,0,2,13.8,1.9,2.7,721,0,252380.0
5578,0,18,23,1,23.0,2022.0,1,2,0,17.0,6.0,2.8,554,1,182608.0
5579,0,18,23,1,37.0,2019.0,1,1,0,37.0,0.0,2.8,121,1,218918.0
5583,0,6,22,1,23.7,2024.0,0,0,2,13.0,3.5,2.82,1418,1,221518.0
5586,0,2,9,1,33.1,1977.0,1,1,2,17.0,8.0,2.6,659,1,148036.0
5587,0,2,25,1,43.7,2015.0,1,3,0,33.5,10.2,2.7,211,1,122425.0
5588,0,1,4,1,38.0,2014.0,1,0,2,17.0,9.0,2.7,606,1,126315.0
5589,0,2,4,1,34.0,2013.0,1,1,0,18.0,9.0,2.82,421,1,151470.0
5590,0,16,17,1,37.8,2006.0,1,0,2,19.0,7.4,2.65,631,1,156084.0
5591,0,5,18,1,35.0,2013.0,1,2,0,25.0,10.0,2.8,478,0,128571.0
5592,0,4,9,1,32.7,1973.0,1,0,0,17.0,7.0,2.5,659,1,146788.0
5595,0,13,22,1,45.1,2016.0,1,0,4,19.0,15.0,3.0,688,1,128603.0
5597,0,13,17,1,40.0,2005.0,1,2,3,18.0,10.0,2.7,631,1,150000.0
5598,0,5,14,1,35.0,1975.0,1,0,0,25.0,5.0,2.82,898,1,157142.0
5599,0,10,15,1,24.0,2022.0,1,1,2,9.0,8.0,2.7,721,1,193750.0
5600,0,13,16,1,34.0,2015.0,1,0,2,16.0,9.0,2.75,432,0,147058.0
5601,0,8,16,1,39.0,2015.0,1,1,0,29.7,9.3,2.82,432,0,117948.0
5602,0,12,25,1,62.5,2022.0,1,1,0,50.0,7.0,2.82,721,1,195200.0
5603,0,9,9,1,33.0,1978.0,1,1,2,18.0,8.0,2.5,631,1,187878.0
5604,0,10,17,1,36.4,2006.0,1,2,0,22.0,7.0,2.82,631,1,162087.0
5606,0,10,17,1,36.4,2006.0,1,0,0,27.4,9.0,2.82,631,1,164835.0
5635,0,19,22,1,21.0,2024.0,0,0,3,10.5,3.0,2.74,121,1,267464.0
5669,7,5,12,3,73.0,2002.0,1,6,2,45.0,12.0,2.7,1211,1,209589.0
5679,7,5,5,3,54.9,2014.0,1,1,2,38.0,6.0,2.6,1245,1,163934.0
